"PRODUCT NAME","CODE EA","RATTANA UNIT EA","CODE PA","RATTANA UNIT PA","CODE BP","RATTANA UNIT BP","CODE CS","RATTANA UNIT CS","UNIT EA","UNIT PA","UNIT BP","UNIT CS","QTY EA","QTY PA","QTY BP","QTY CS","CS PALLET","CS LAYER","NUMBER OF LAYERS","PRICE CC00 EA","PRICE CC00 PA","PRICE CC00 BP","PRICE CC00 CS","PRICE CC01 EA","PRICE CC01 PA","PRICE CC01 BP","PRICE CC01 CS","PRICE CC02 EA","PRICE CC02 PA","PRICE CC02 BP","PRICE CC02 CS","PRICE CC03 EA","PRICE CC03 PA","PRICE CC03 BP","PRICE CC03 CS","PRICE S00 EA","PRICE S00 PA","PRICE S00 BP","PRICE S00 CS","PRICE S01 EA","PRICE S01 PA","PRICE S01 BP","PRICE S01 CS","PRICE S02 EA","PRICE S02 PA","PRICE S02 BP","PRICE S02 CS","PRICE S03 EA","PRICE S03 PA","PRICE S03 BP","PRICE S03 CS","CAT BU","CAT TYPE","CAT GROUP","CAT BRAND","CAT SIZE","CAT VENDOR","VENDOR CODE","VENDOR NAME","SKU LIFE (DAYS)","UNIT VALUE","DESCRIPTION","FIRST STOCK DATE","SHORT NAME","STOCK W1","STOCK W2","STOCK W3","STOCK W4","STOCK C4","STOCK E1","STOCK EW2","STOCK EW3","STOCK EW4","STOCK V1","STOCK V2","STOCK V3","STOCK V4","STOCK SM","STOCK SD","STOCK HW1","STOCK HW4","STOCK PROMO1","AVERAGE 60D_W1","AVERAGE 60D_W2","AVERAGE 60D_W3","AVERAGE 60D_W4","AVERAGE 60D_C4","RANK W1","RANK W2","RANK W3","RANK W4","RANK C4","IB W1","IB W2","IB W3","IB W4","IB C4","SKU_USAGE","SKU_LEAD_TIME","OR W1","OR REF W1","OR_CS.EA W1","OR W2","OR REF W2","OR_CS.EA W2","OR W3","OR REF W3","OR_CS.EA W3","OR W4","OR REF W4","OR_CS.EA W4","OR C4","OR REF C4","OR_CS.EA C4","SELL 7D W1","SELL 7D W2","SELL 7D W3","SELL 7D W4","SELL 7D C4","AGENT","GOODS_WEIGHT","VAT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"รัชชา วิตซี มาส์ก กลาซซี่ เฟเชียล 33ก.","8859572400655","EA","","","","","8859572400648","CS","ชิ้นx1(EA)","","","ลังx6(CS)","1","","","6","0","0","0","52","","","280","53","","","290","54","","","300","55","","","310","52","","","280","53","","","290","54","","","300","55","","","310","Bplus FMCG","ผลิตภัณฑ์ที่ใช้กับใบหน้า","ผลิตภัณฑ์ดูแลผิวหน้า","รัชชา VC","รัชชา 33ก.","บจก. บี แอนด์ บี สกินแคร์","<New>","<New>","365","0","","2026/04/29","","","","","","0.4","","","","","","","","","","","","","","0","0","0","0","0.1","","","","","F","","","","","2026/05/15 VOLUME 2.0 FREE 0.0 VALUE 208.65","https://drive.google.com/uc?export=download&id=1K6PAeyvsdSuhcpZmoGi4toilZy-LosBY","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ST สายชาร์จ Micro PS003 6A","","","","","","","6824351236413","CS","","","","ชิ้นx1(CS)","","","","1","0","0","0","","","","19","","","","19","","","","19","","","","20","","","","","","","","","","","","","","","","","Bplus FMCG","วัสดุสิ้นเปลือง","วัสดุสิ้นเปลือง","NS โฮม","NSโฮม 18","บจก. เอ็น.เอส โฮม","0","เงินสด","365","0","","2026/03/15","","","","","","-4.0","","","","","","","","","","","","","","0","0","0","0","0","","","","","F","","","","","","","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"กุ้งไทย กะปิใหญ่ 1000ก.","8853237000259","EA","","","","","28853237000253","CS","ชิ้นx1(EA)","","","ลังx12(CS)","1","","","12","0","0","0","129","","","1240","129","","","1260","129","","","1280","129","","","1300","129","","","1240","129","","","1260","129","","","1280","129","","","1300","Bplus FMCG","วัตถุดิบทำอาหาร","วัตถุดิบทำอาหาร","กุ้งไทย","กะปิกุ้งไทย 1000","บริษัท โอ.เอ ฟู๊ด ซัพพลาย จำกัด","0","เงินสด","365","0","","2026/07/01","","","","","4.0","0.10","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","2026/07/01 VOLUME 5.0 FREE 0.0 VALUE 1165.00","2026/07/01 VOLUME 5.0 FREE 0.0 VALUE 1165.00","","7","","","","","","","","","","","","","","","","0","0","0","0","2","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"กุ้งไทย กะปิ 400ก.","8853237000167","EA","","","","","28853237000161","CS","ชิ้นx1(EA)","","","ลังx24(CS)","1","","","24","0","0","0","59","","","1220","59","","","1230","59","","","1250","59","","","1280","59","","","1220","59","","","1230","59","","","1250","59","","","1280","Bplus FMCG","วัตถุดิบทำอาหาร","วัตถุดิบทำอาหาร","กุ้งไทย","กะปิกุ้งไทย 400","บริษัท โอ.เอ ฟู๊ด ซัพพลาย จำกัด","0","เงินสด","365","0","","2026/07/01","","","","","4.0","0.23","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","2026/07/01 VOLUME 5.0 FREE 0.0 VALUE 1135.00","2026/07/01 VOLUME 5.0 FREE 0.0 VALUE 1135.00","","7","","","","","","","","","","","","","","","","0","0","0","0","1","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ไก่แจ้ จัสมินข้าวหอมไทย 14กก.","","","","","","","8858901603774","CS","","","","ชิ้นx1(CS)","","","","1","0","0","0","","","","270","","","","273","","","","278","","","","283","","","","270","","","","273","","","","278","","","","283","ข้าว","ข้าว","ข้าว","ไก่แจ้","ไก่แจ้ จัสมิน 15กก.","บริษัท สุนทรธัญทรัพย์ จำกัด ","0","เงินสด","365","15","","2024/07/29","","","","","0.0","2.0","","","","0.0","","","","","","","","","","0","0","0","0","0","","","","","F","","","","2026/06/22 VOLUME 10.0 FREE 0.0 VALUE 253.00","2026/06/22 VOLUME 10.0 FREE 0.0 VALUE 253.00","https://drive.google.com/uc?export=download&id=1h2GyKr2L6Rn9cYnoq8xmjFXMTuvb-h49","0","","","","","","","","","","","","","","","","0","0","0","0","6","","0","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ง่วนเชียง ซอสหอยนางรม 770มล.","8851912050209","EA","","","","","18851912050121","CS","ชิ้นx1(EA)","","","ลังx12(CS)","1","","","12","0","0","0","32","","","320","32","","","320","32","","","325","32","","","330","","","","","","","","","","","","","","","","","Bplus FMCG","วัตถุดิบทำอาหาร","ซอสปรุงรส","ง่วนเชียง","ง่วนเชียง 700","บจก.เอ็น ซี ไอ อินเตอร์มาร์ท","0","เงินสด","365","0","","2026/06/10","","","","","8.0","1.11","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","2026/06/16 VOLUME 10.0 FREE 0.0 VALUE 302.60","2026/06/16 VOLUME 10.0 FREE 0.0 VALUE 302.60","https://drive.google.com/uc?export=download&id=1ghEsyo7zY4L5dPmPUl5qBQ2Uhf-zxSFa","7","","","","","","","","","","","","","","","","0","0","0","0","1","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ฉั่วฮะเส็ง น้ำมันน้ำพริกเผา 120มล.","8852391020318","EA","8852391020301","PA","","","18852391020315","CS","ชิ้นx1(EA)","แพ็คx6(PA)","","ลังx12(CS)","1","6","","12","0","0","0","19","","","225","20","","","225","21","","","230","22","","","235","19","","","225","20","","","225","21","","","230","22","","","235","Bplus FMCG","วัตถุดิบทำอาหาร","ซอสปรุงรส","ฉั่วฮะเส็ง","ฉั่วฮะเส็ง น้ำมันน้ำพริกเผา 120","บจก. ฉั่วฮะเส็ง ฟู้ดส์โปรดักส์","0","เงินสด","365","0","","2026/05/22","","","","","1.0","0.11","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","2026/06/03 VOLUME 2.0 FREE 0.0 VALUE 198.50","2026/06/03 VOLUME 2.0 FREE 0.0 VALUE 198.50","https://drive.google.com/uc?export=download&id=1pxmpxkeUgkWKB31eNx1s4PfIqS5OG8Y4","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ฉั่วฮะเส็ง น้ำพริกเผาขวดแก้ว 59ก.","8852391010609","EA","","","","","18852391010279","CS","ชิ้นx1(EA)","","","ลังx24(CS)","1","","","24","0","0","0","18","","","395","18","","","400","19","","","410","20","","","415","18","","","395","18","","","400","19","","","410","20","","","415","Bplus FMCG","วัตถุดิบทำอาหาร","ซอสปรุงรส","ฉั่วฮะเส็ง","ฉั่วฮะเส็งน้ำพริกเผา 59","บจก. ฉั่วฮะเส็ง ฟู้ดส์โปรดักส์","0","เงินสด","365","0","","2026/05/22","","","","","1.0","1.0","","","","","","","","","","","","","","0","0","0","2.4","0","","","","New","","","","","2026/06/29 VOLUME 5.0 FREE 0.0 VALUE 368.15","2026/06/03 VOLUME 5.0 FREE 0.0 VALUE 368.16","https://drive.google.com/uc?export=download&id=1mrpMNXTCcvc9O55_0EC1M7FbflW2E4Ln","7","","","","","","","","","","2026/07/14","ORT6907/081","10.0","","","","0","0","0","72","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ดาวน์นี่ ปรับผ้านุ่มตากในร่ม 450มล.","14987176060815","EA","4987176060815","PA","","","24987176060819","CS","ชิ้นx1(EA)","แพ็คx3(PA)","","ลังx18(CS)","1","3","","18","0","0","0","45","125","","745","45","125","","750","45","128","","755","45","130","","760","45","125","","745","45","125","","750","45","128","","755","45","130","","760","Bplus FMCG","ผลิตภัณฑ์ทำความสะอาดเสื้อผ้า","น้ำยาปรับผ้านุ่ม","ดาวน์นี่","ดาวน์นี่ปรับผ้านุ่ม 470 P2+1","บจก. ยาคอบส์ ดาวเออร์ ทีเอช","0","เงินสด","365","0","","2026/06/09","ดาวน์นี่ ปรับผ้านุ่มตากในร่ม 450มล.","","","","4.0","0.9","","","","","","","","","","","","","","0","0","0","0","0.1","","","","","New","","","","2026/06/20 VOLUME 3.0 FREE 0.0 VALUE 726.72","2026/06/09 VOLUME 2.0 FREE 0.0 VALUE 726.73","https://drive.google.com/uc?export=download&id=1jB1-xZryZmTm-3mbt-iLiYkFJfIxfMm8","7","","","","","","","","","","","","","","","","0","0","0","0","6","","6.37","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ตราหัวกวาง ซอสเปรี้ยว(จิ๊กโฉว) 600 มล.","8859067000063","EA","","","","","8859067000049","CS","ชิ้นx1(EA)","","","ลังx12(CS)","1","","","12","0","0","0","32","","","345","32","","","350","33","","","355","34","","","360","32","","","345","32","","","350","33","","","355","34","","","360","Bplus FMCG","วัตถุดิบทำอาหาร","ซอสปรุงรส","ตราหัวกวาง ","ตราหัวกวาง 600 ","ร้านอำมร","0","เงินสด","365","0","","2026/06/02","","20.0","","","84.0","2.0","","","","","","","","","","","","","","0","0","0","3.1","0","","","","New","","2026/06/23 VOLUME 20.0 FREE 0.0 VALUE 360.00","","","2026/06/02 VOLUME 120.0 FREE 0.0 VALUE 330.00","2026/06/06 VOLUME 1.0 FREE 0.0 VALUE 360.00","https://drive.google.com/uc?export=download&id=1h0LAzdLDHyfd4gKm4IY3fzwQMLoHozlx","7","","","","","","","","","","","","","","","","0","0","0","24","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
